Chemin_Fichier,Date_Heure_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9257.jpeg,2025-12-14 09:23:11.926896095,sushi,9.57%,OK
../data/raw/p01/food-images/IMG_9258.jpeg,2025-12-14 09:23:07.926913023,carrot cake,14.14%,OK
../data/raw/p01/food-images/IMG_9259.jpeg,2025-12-14 09:23:07.304603338,paella,14.05%,OK
../data/raw/p01/food-images/IMG_9260.jpeg,2025-12-14 09:23:12.692049980,panna cotta,22.85%,OK
../data/raw/p01/food-images/IMG_9261.jpeg,2025-12-14 09:23:12.059568405,carrot cake,21.55%,OK
../data/raw/p01/food-images/IMG_9262.jpeg,2025-12-14 09:23:07.623893738,eggs benedict,17.57%,OK
../data/raw/p01/food-images/IMG_9263.jpeg,2025-12-14 09:23:07.557301283,chocolate mousse,16.29%,OK
../data/raw/p01/food-images/IMG_9264.jpeg,2025-12-14 09:23:09.814426661,mussels,82.33%,OK
../data/raw/p01/food-images/IMG_9265.jpeg,2025-12-14 09:23:08.832569838,waffles,19.44%,OK
../data/raw/p01/food-images/IMG_9266.jpeg,2025-12-14 09:23:11.654085875,macarons,27.36%,OK
../data/raw/p01/food-images/IMG_9268.jpeg,2025-12-14 09:23:09.352099419,chicken curry,22.48%,OK
../data/raw/p01/food-images/IMG_9269.jpeg,2025-12-14 09:23:09.316678286,macarons,22.22%,OK
../data/raw/p01/food-images/IMG_9270.jpeg,2025-12-14 09:23:11.498284817,churros,12.10%,OK
../data/raw/p01/food-images/IMG_9271.jpeg,2025-12-14 09:23:10.341607094,pancakes,21.67%,OK
../data/raw/p01/food-images/IMG_9273.jpeg,2025-12-14 09:23:08.634199858,french toast,6.02%,OK
../data/raw/p01/food-images/IMG_9274.jpeg,2025-12-14 09:23:07.828511000,creme brulee,21.80%,OK
../data/raw/p01/food-images/IMG_9275.jpeg,2025-12-14 09:23:07.346971989,waffles,23.24%,OK
../data/raw/p01/food-images/IMG_9278.jpeg,2025-12-14 09:23:08.175979376,tuna tartare,8.40%,OK
../data/raw/p01/food-images/IMG_9280.jpeg,2025-12-14 09:23:07.238584757,spring rolls,28.70%,OK
../data/raw/p01/food-images/IMG_9281.jpeg,2025-12-14 09:23:08.009190559,cheese plate,10.08%,OK
../data/raw/p01/food-images/IMG_9282.jpeg,2025-12-14 09:23:11.678575754,chocolate cake,11.79%,OK
../data/raw/p01/food-images/IMG_9283.jpeg,2025-12-14 09:23:13.148332119,ceviche,9.45%,OK
../data/raw/p01/food-images/IMG_9285.jpeg,2025-12-14 09:23:11.317758799,panna cotta,35.53%,OK
../data/raw/p01/food-images/IMG_9286.jpeg,2025-12-14 09:23:09.333677292,paella,21.34%,OK
../data/raw/p01/food-images/IMG_9287.jpeg,2025-12-14 09:23:09.381107092,samosa,27.70%,OK
../data/raw/p01/food-images/IMG_9288.jpeg,2025-12-14 09:23:10.171579599,macarons,16.19%,OK
../data/raw/p01/food-images/IMG_9290.jpeg,2025-12-14 09:23:09.093287945,cheesecake,17.71%,OK
../data/raw/p01/food-images/IMG_9291.jpeg,2025-12-14 09:23:09.556858540,french fries,16.01%,OK
../data/raw/p01/food-images/IMG_9292.jpeg,2025-12-14 09:23:10.650025129,fried calamari,43.21%,OK
../data/raw/p01/food-images/IMG_9293.jpeg,2025-12-14 09:23:11.142748594,dumplings,7.92%,OK
../data/raw/p01/food-images/IMG_9294.jpeg,2025-12-14 09:23:11.852615118,ice cream,12.34%,OK
../data/raw/p01/food-images/IMG_9295.jpeg,2025-12-14 09:23:12.927414417,cup cakes,15.64%,OK
../data/raw/p01/food-images/IMG_9296.jpeg,2025-12-14 09:23:07.072602987,paella,10.02%,OK
../data/raw/p01/food-images/IMG_9297.jpeg,2025-12-14 09:23:08.194979191,cheese plate,11.28%,OK
../data/raw/p01/food-images/IMG_9298.jpeg,2025-12-14 09:23:12.203555346,ice cream,24.78%,OK
../data/raw/p01/food-images/IMG_9299.jpeg,2025-12-14 09:23:12.537883997,foie gras,20.02%,OK
../data/raw/p01/food-images/IMG_9300.jpeg,2025-12-14 09:23:08.951486349,chicken curry,16.53%,OK
../data/raw/p01/food-images/IMG_9301.jpeg,2025-12-14 09:23:09.721064329,filet mignon,17.97%,OK
../data/raw/p01/food-images/IMG_9302.jpeg,2025-12-14 09:23:10.816572189,macarons,12.81%,OK
../data/raw/p01/food-images/IMG_9303.jpeg,2025-12-14 09:23:10.973969698,tacos,10.83%,OK
../data/raw/p01/food-images/IMG_9304.jpeg,2025-12-14 09:23:11.961669207,pancakes,15.15%,OK
../data/raw/p01/food-images/IMG_9305.jpeg,2025-12-14 09:23:12.825381994,ice cream,25.58%,OK
../data/raw/p01/food-images/IMG_9307.jpeg,2025-12-14 09:23:08.365796804,panna cotta,18.39%,OK
../data/raw/p01/food-images/IMG_9308.jpeg,2025-12-14 09:23:12.333553553,risotto,14.21%,OK
../data/raw/p01/food-images/IMG_9309.jpeg,2025-12-14 09:23:12.423264503,chocolate mousse,29.67%,OK
../data/raw/p01/food-images/IMG_9310.jpeg,2025-12-14 09:23:06.955492020,onion rings,30.59%,OK
../data/raw/p01/food-images/IMG_9311.jpeg,2025-12-14 09:23:08.285264969,pulled pork sandwich,15.03%,OK
../data/raw/p01/food-images/IMG_9313.jpeg,2025-12-14 09:23:12.847717524,churros,31.46%,OK
../data/raw/p01/food-images/IMG_9314.jpeg,2025-12-14 09:23:10.777057886,ice cream,21.58%,OK
../data/raw/p01/food-images/IMG_9315.jpeg,2025-12-14 09:23:10.998967171,chocolate mousse,42.22%,OK
../data/raw/p01/food-images/IMG_9316.jpeg,2025-12-14 09:23:08.968481779,churros,9.92%,OK
../data/raw/p01/food-images/IMG_9317.jpeg,2025-12-14 09:23:09.673723698,beignets,29.39%,OK
../data/raw/p01/food-images/IMG_9318.jpeg,2025-12-14 09:23:10.410523653,ice cream,21.09%,OK
../data/raw/p01/food-images/IMG_9321.jpeg,2025-12-14 09:23:09.831425190,chocolate mousse,24.68%,OK
../data/raw/p01/food-images/IMG_9322.jpeg,2025-12-14 09:23:10.151750088,churros,20.16%,OK
../data/raw/p01/food-images/IMG_9323.jpeg,2025-12-14 09:23:11.635039806,panna cotta,22.57%,OK
../data/raw/p01/food-images/IMG_9324.jpeg,2025-12-14 09:23:12.035006285,tiramisu,23.60%,OK
