participant_id,image_path,detected_foods,estimated_calories
p01,data/raw/p01/food-images/IMG_9351.jpeg,"['strawberry', 'banana', 'egg']",276
p01,data/raw/p01/food-images/IMG_9354.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9355.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9356.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9358.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9360.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9361.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9362.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9363.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9364.jpeg,"['chocolate', 'egg']",655
p01,data/raw/p01/food-images/IMG_9366.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9367.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9368.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9371.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9372.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9373.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9374.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9375.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9376.jpeg,"['pizza', 'hotdog']",540
p01,data/raw/p01/food-images/IMG_9379.jpeg,"['chocolate', 'pizza']",780
p01,data/raw/p01/food-images/IMG_9380.jpeg,['spaghetti'],220
p01,data/raw/p01/food-images/IMG_9381.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9382.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9383.jpeg,['strawberry'],32
p01,data/raw/p01/food-images/IMG_9385.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9386.jpeg,"['strawberry', 'pizza', 'orange']",359
p01,data/raw/p01/food-images/IMG_9387.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9388.jpeg,"['cheeseburger', 'cheese']",700
p01,data/raw/p01/food-images/IMG_9389.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9390.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9394.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9395.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9396.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9397.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9398.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9399.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9400.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9401.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9403.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9404.jpeg,['spaghetti'],220
p01,data/raw/p01/food-images/IMG_9405.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9406.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9407.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9408.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9409.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9410.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9411.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9412.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9413.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9414.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9415.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9462.jpeg,['hotdog'],260
